event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,2,48,46011.0,45148,46011.0,,,,135,46011000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=45148
RX,REAL,,2,2,48,46028.88,45525,46028.88,45148,45525,17.87999999999738,136,46028880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=45148 recv_ms=45525 bytes=48
TX,REAL,4,,1,48,46577.0,46284,46577.0,,,,138,46577000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=46284
RX,REAL,,4,1,48,46613.304,46110,46613.304,46284,46110,36.30399999999645,139,46613304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=1 send_ms=46284 recv_ms=46110 bytes=48
TX,REAL,5,,1,48,49325.0,48988,49325.0,,,,141,49325000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=1 bytes=48 time_ms=48988
RX,REAL,,5,1,48,49390.168,48887,49390.168,48988,48887,65.16799999999785,142,49390168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=1 send_ms=48988 recv_ms=48887 bytes=48
TX,REAL,3,,1,48,49916.0,49252,49916.0,,,,144,49916000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=49252
RX,REAL,,3,1,48,49983.168,49480,49983.168,49252,49480,67.16799999999785,145,49983168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=49252 recv_ms=49480 bytes=48
TX,REAL,7,,4,48,53185.0,52866,53185.0,,,,147,53185000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=4 bytes=48 time_ms=52866
RX,REAL,,7,4,48,53206.88,52703,53206.88,52866,52703,21.87999999999738,148,53206880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=4 send_ms=52866 recv_ms=52703 bytes=48
TX,REAL,6,,3,48,53375.0,52436,53375.0,,,,150,53375000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=3 bytes=48 time_ms=52436
TX,DUMMY,6,,0,48,53376.0,52437,53376.0,,,,151,53376000	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=0 bytes=48 time_ms=52437
RX,REAL,,6,3,48,53418.88,52915,53418.88,52436,52915,43.87999999999738,152,53418880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=3 send_ms=52436 recv_ms=52915 bytes=48
