path,file_size_bytes,git_last_commit_time,git_last_commit_hash,category,referenced_by_final_thesis,deletion_recommendation,reason
configs/generated/casas_hh101/seed_2026/mlp/ldp/retrain_attacker.yaml,3246,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_2026/mlp/noise/fixed_attacker.yaml,3238,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_2026/mlp/noise/retrain_attacker.yaml,3254,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/adaptive_ldp/fixed_attacker.yaml,3245,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/adaptive_ldp/retrain_attacker.yaml,3270,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/baseline.yaml,3245,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/ldp/fixed_attacker.yaml,3218,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/ldp/retrain_attacker.yaml,3234,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/noise/fixed_attacker.yaml,3224,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/lstm/noise/retrain_attacker.yaml,3242,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/adaptive_ldp/fixed_attacker.yaml,3245,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/adaptive_ldp/retrain_attacker.yaml,3268,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/baseline.yaml,3245,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/ldp/fixed_attacker.yaml,3218,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/ldp/retrain_attacker.yaml,3232,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/noise/fixed_attacker.yaml,3224,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/casas_hh101/seed_42/mlp/noise/retrain_attacker.yaml,3240,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/cooja/cooja_defense_dummy_logs.json,1027,,,generated_config,False,keep,path_hygiene_issue; Required canonical delivery/code/documentation file. Contains local path content that should be reviewed.
configs/generated/cooja/cooja_defense_dummy_logs.template.json,668,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/cooja/cooja_defense_logs.json,1535,,,generated_config,False,keep,path_hygiene_issue; Required canonical delivery/code/documentation file. Contains local path content that should be reviewed.
configs/generated/cooja/cooja_defense_logs.template.json,981,,,generated_config,False,keep,path_hygiene_issue; Required canonical delivery/code/documentation file. Contains local path content that should be reviewed.
configs/generated/cooja/cooja_defense_postprocess.json,786,,,generated_config,False,keep,path_hygiene_issue; Required canonical delivery/code/documentation file. Contains local path content that should be reviewed.
configs/generated/default.seed_123.yaml,3102,2026-04-23T13:30:03+08:00,c6549c00af9c55fcc716a224ffc0ec4c6900f5e0,generated_config,True,keep,Referenced by final summaries or delivery documentation.
configs/generated/default.seed_2026.yaml,3110,2026-04-23T15:24:00+08:00,18f5353d28e3ea3604df49c89a906bb08f13568a,generated_config,True,keep,Referenced by final summaries or delivery documentation.
