accuracy_drop,baseline_acc,baseline_f1_macro,byte_count_mean,byte_overhead_ratio,correlation_drop,dataset,defended_acc,defended_f1_macro,delay_proxy_available,dummy_byte_count_mean,dummy_packet_count_mean,dummy_packet_ratio,energy_metric_available,energy_mj_mean,energy_overhead_ratio,f1_macro,input_shape,is_hardware_measurement,mae,mean_delay_ms,mean_iat_ms,method,metric_type,mode,model_type,mse,num_classes,p95_delay_ms,p95_iat_ms,packet_overhead_ratio,pearson_r,pkt_count_mean,real_byte_count_mean,real_packet_count_mean,relative_accuracy_drop_percent,section,seed,source_files,source_log_files,test_size,traffic_activity_correlation_after,traffic_activity_correlation_before,train_size,val_size
0.2052980132450331,0.4652317880794702,0.4129917751339348,,,,mock,0.2599337748344371,0.1870890275533442,,,,,,,,,,,0.4997777148464784,,,noise,,retrain_attacker,mlp,0.4990515514628953,,,,,0.2110798185283669,,,,44.12811387900357,mock,42,outputs/experiments/mock/seed_42/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_42/mlp/noise/retrain_attacker/confusion.json;outputs/experiments/mock/seed_42/mlp/noise/retrain_attacker/defense_report.json,,,,,,
0.3443708609271522,0.7831125827814569,0.7699687346804808,,,,mock,0.4387417218543046,0.3030440902457167,,,,,,,,,,,0.3917225008424567,,,adaptive_ldp,,fixed_attacker,lstm,0.9063319580707392,,,,,0.1464043531181786,,,,43.97463002114164,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/adaptive_ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/adaptive_ldp/fixed_attacker/defense_report.json,,,,,,
0.3609271523178807,0.7831125827814569,0.7699687346804808,,,,mock,0.4221854304635761,0.353448181869182,,,,,,,,,,,0.3917225008424567,,,adaptive_ldp,,retrain_attacker,lstm,0.9063319580707392,,,,,0.1464043531181786,,,,46.08879492600423,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/adaptive_ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/adaptive_ldp/retrain_attacker/defense_report.json,,,,,,
0.4470198675496688,0.7831125827814569,0.7699687346804808,,,,mock,0.3360927152317881,0.1804060527789469,,,,,,,,,,,0.5156768119323579,,,ldp,,fixed_attacker,lstm,1.0037463464963514,,,,,0.1078229180413483,,,,57.082452431289646,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/ldp/fixed_attacker/defense_report.json,,,,,,
0.4569536423841059,0.7831125827814569,0.7699687346804808,,,,mock,0.326158940397351,0.2295489551922208,,,,,,,,,,,0.5156768119323579,,,ldp,,retrain_attacker,lstm,1.0037463464963514,,,,,0.1078229180413483,,,,58.35095137420719,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/ldp/retrain_attacker/defense_report.json,,,,,,
0.4039735099337748,0.7831125827814569,0.7699687346804808,,,,mock,0.3791390728476821,0.2466322587837273,,,,,,,,,,,0.4983800696929921,,,noise,,fixed_attacker,lstm,0.4965272599019954,,,,,0.2100685206953511,,,,51.58562367864693,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/noise/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/noise/fixed_attacker/defense_report.json,,,,,,
0.4139072847682118,0.7831125827814569,0.7699687346804808,,,,mock,0.369205298013245,0.3007413849018401,,,,,,,,,,,0.4983800696929921,,,noise,,retrain_attacker,lstm,0.4965272599019954,,,,,0.2100685206953511,,,,52.85412262156448,mock,123,outputs/experiments/mock/seed_123/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/lstm/noise/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/lstm/noise/retrain_attacker/defense_report.json,,,,,,
0.3692052980132451,0.4834437086092715,0.4405918215847059,,,,mock,0.1142384105960264,0.0410104011887072,,,,,,,,,,,0.3917225008424567,,,adaptive_ldp,,fixed_attacker,mlp,0.9063319580707392,,,,,0.1464043531181786,,,,76.36986301369863,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/adaptive_ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/adaptive_ldp/fixed_attacker/defense_report.json,,,,,,
0.0695364238410596,0.4834437086092715,0.4405918215847059,,,,mock,0.4139072847682119,0.3351340789232041,,,,,,,,,,,0.3917225008424567,,,adaptive_ldp,,retrain_attacker,mlp,0.9063319580707392,,,,,0.1464043531181786,,,,14.383561643835622,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/adaptive_ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/adaptive_ldp/retrain_attacker/defense_report.json,,,,,,
0.3692052980132451,0.4834437086092715,0.4405918215847059,,,,mock,0.1142384105960264,0.0410104011887072,,,,,,,,,,,0.5156768119323579,,,ldp,,fixed_attacker,mlp,1.0037463464963514,,,,,0.1078229180413483,,,,76.36986301369863,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/ldp/fixed_attacker/defense_report.json,,,,,,
