event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,3,48,51036.0,50558,51036.0,,,,134,51036000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=50558
RX,REAL,,2,3,48,51054.88,51050,51054.88,50558,51050,18.87999999999738,135,51054880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=50558 recv_ms=51050 bytes=48
TX,REAL,6,,3,48,52051.0,51117,52051.0,,,,137,52051000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=3 bytes=48 time_ms=51117
RX,REAL,,6,3,48,52088.88,52084,52088.88,51117,52084,37.87999999999738,138,52088880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=3 send_ms=51117 recv_ms=52084 bytes=48
TX,REAL,4,,2,48,55455.0,54830,55455.0,,,,140,55455000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=2 bytes=48 time_ms=54830
RX,REAL,,4,2,48,55489.304,55485,55489.304,54830,55485,34.30399999999645,141,55489304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=2 send_ms=54830 recv_ms=55485 bytes=48
TX,REAL,7,,3,48,55660.0,55271,55660.0,,,,143,55660000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=55271
RX,REAL,,7,3,48,55681.88,55677,55681.88,55271,55677,21.87999999999738,144,55681880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=55271 recv_ms=55677 bytes=48
TX,REAL,3,,1,48,55997.0,55057,55997.0,,,,146,55997000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=55057
RX,REAL,,3,1,48,56014.304,56010,56014.304,55057,56010,17.30399999999645,147,56014304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=55057 recv_ms=56010 bytes=48
