dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.7201986754966887,0.6837748344370861,0.03642384105960261,0.6328695986874581,0.019962062058155684,0.09995554298086394,0.735057133680853,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.5761589403973509,0.45695364238410596,0.11920529801324498,0.3959010770533703,0.1796585584520285,0.2998666288757909,0.3392570192185543,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.5347682119205298,0.3294701986754967,0.2052980132450331,0.2834620922360163,0.4990515514628953,0.4997777148464784,0.21107981852836696,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.48013245033112584,0.2152317880794702,0.26490066225165565,0.20172188834995727,1.9962062060492143,0.999555429705271,0.10680568236856793,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
