method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r
noise,noise_scale,0.1,0.7798013245033113,0.6655629139072847,0.11423841059602657,0.6170404855712878,0.02006168330311102,0.10010593080039781,0.7277387437697089
noise,noise_scale,0.3,0.7798013245033113,0.4155629139072848,0.3642384105960265,0.3233345341472142,0.18055514972270348,0.30031779238528455,0.3343539983587025
noise,noise_scale,0.5,0.7798013245033113,0.36423841059602646,0.41556291390728484,0.24339550996431,0.5015420825948257,0.5005296539653346,0.20880618344991742
noise,noise_scale,1.0,0.7798013245033113,0.3029801324503311,0.4768211920529802,0.18102296239431398,2.00616833019837,1.001059307889017,0.1069511334624639
