event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,0,48,16367.0,15974,16367.0,,,,76,16367000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=15974
RX,REAL,,2,0,48,16384.88,15953,16384.88,15974,15953,17.88000000000102,77,16384880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=15974 recv_ms=15953 bytes=48
TX,REAL,7,,0,48,22056.0,22034,22056.0,,,,82,22056000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=22034
RX,REAL,,7,0,48,22076.88,21645,22076.88,22034,21645,20.88000000000102,83,22076880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=22034 recv_ms=21645 bytes=48
TX,REAL,6,,0,48,22826.0,22738,22826.0,,,,87,22826000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=22738
RX,REAL,,6,0,48,22867.88,22436,22867.88,22738,22436,41.88000000000102,88,22867880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=22738 recv_ms=22436 bytes=48
TX,REAL,2,,1,48,25368.0,24975,25368.0,,,,92,25368000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=24975
RX,REAL,,2,1,48,25391.88,24960,25391.88,24975,24960,23.88000000000102,93,25391880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=24975 recv_ms=24960 bytes=48
TX,REAL,6,,1,48,32827.0,32739,32827.0,,,,96,32827000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=32739
RX,REAL,,6,1,48,32860.88,32429,32860.88,32739,32429,33.87999999999738,97,32860880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=32739 recv_ms=32429 bytes=48
TX,REAL,2,,2,48,33369.0,32976,33369.0,,,,99,33369000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=32976
RX,REAL,,2,2,48,33381.88,32950,33381.88,32976,32950,12.87999999999738,100,33381880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=32976 recv_ms=32950 bytes=48
TX,REAL,7,,1,48,34057.0,34035,34057.0,,,,102,34057000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=34035
TX,DUMMY,7,,0,48,34058.0,34036,34058.0,,,,103,34058000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=0 bytes=48 time_ms=34036
RX,REAL,,7,1,48,34098.88,33667,34098.88,34035,33667,41.87999999999738,104,34098880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=34035 recv_ms=33667 bytes=48
RX,DUMMY,,7,0,48,34123.88,33692,34123.88,34036,33692,,105,34123880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=0 send_ms=34036 recv_ms=33692 bytes=48
TX,REAL,3,,0,48,34976.0,34764,34976.0,,,,110,34976000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=0 bytes=48 time_ms=34764
RX,REAL,,3,0,48,35022.168,34591,35022.168,34764,34591,46.167999999997846,111,35022168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=0 send_ms=34764 recv_ms=34591 bytes=48
TX,REAL,5,,0,48,36055.0,35085,36055.0,,,,115,36055000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=0 bytes=48 time_ms=35085
RX,REAL,,5,0,48,36087.168,35656,36087.168,35085,35656,32.167999999997846,116,36087168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=0 send_ms=35085 recv_ms=35656 bytes=48
TX,REAL,6,,2,48,40828.0,40740,40828.0,,,,119,40828000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=2 bytes=48 time_ms=40740
RX,REAL,,6,2,48,40834.88,40403,40834.88,40740,40403,6.879999999997381,120,40834880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=2 send_ms=40740 recv_ms=40403 bytes=48
TX,REAL,4,,0,48,42075.0,41126,42075.0,,,,124,42075000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=41126
RX,REAL,,4,0,48,42125.168,41694,42125.168,41126,41694,50.167999999997846,125,42125168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=0 send_ms=41126 recv_ms=41694 bytes=48
TX,REAL,2,,3,48,43370.0,42977,43370.0,,,,127,43370000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=42977
RX,REAL,,2,3,48,43375.88,42944,43375.88,42977,42944,5.879999999997381,128,43375880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=42977 recv_ms=42944 bytes=48
TX,REAL,7,,2,48,44059.0,44037,44059.0,,,,130,44059000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=2 bytes=48 time_ms=44037
RX,REAL,,7,2,48,44102.88,43671,44102.88,44037,43671,43.87999999999738,131,44102880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=2 send_ms=44037 recv_ms=43671 bytes=48
TX,REAL,3,,1,48,44977.0,44765,44977.0,,,,133,44977000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=44765
RX,REAL,,3,1,48,45037.168,44606,45037.168,44765,44606,60.167999999997846,134,45037168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=44765 recv_ms=44606 bytes=48
TX,REAL,5,,1,48,46056.0,45086,46056.0,,,,136,46056000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=1 bytes=48 time_ms=45086
RX,REAL,,5,1,48,46096.168,45665,46096.168,45086,45665,40.167999999997846,137,46096168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=1 send_ms=45086 recv_ms=45665 bytes=48
TX,REAL,6,,3,48,48829.0,48741,48829.0,,,,139,48829000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=3 bytes=48 time_ms=48741
RX,REAL,,6,3,48,48850.88,48419,48850.88,48741,48419,21.87999999999738,140,48850880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=3 send_ms=48741 recv_ms=48419 bytes=48
TX,REAL,4,,1,48,51076.0,50127,51076.0,,,,142,51076000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=50127
RX,REAL,,4,1,48,51126.168,50695,51126.168,50127,50695,50.167999999997846,143,51126168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=1 send_ms=50127 recv_ms=50695 bytes=48
TX,REAL,7,,3,48,54060.0,54038,54060.0,,,,145,54060000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=54038
RX,REAL,,7,3,48,54082.88,53651,54082.88,54038,53651,22.87999999999738,146,54082880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=54038 recv_ms=53651 bytes=48
TX,REAL,2,,4,48,54371.0,53978,54371.0,,,,148,54371000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=4 bytes=48 time_ms=53978
RX,REAL,,2,4,48,54411.88,53980,54411.88,53978,53980,40.87999999999738,149,54411880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=4 send_ms=53978 recv_ms=53980 bytes=48
TX,REAL,5,,2,48,56057.0,55087,56057.0,,,,152,56057000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=2 bytes=48 time_ms=55087
RX,REAL,,5,2,48,56130.168,55699,56130.168,55087,55699,73.16799999999785,153,56130168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=2 send_ms=55087 recv_ms=55699 bytes=48
