dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
kasteren,42,mlp,fixed_attacker,ldp,,epsilon,0.1,,,,,,,0.21243523316062177,0.015544041450777202,0.19689119170984457,0.001702127659574468,99.77044341191223,5.023279096234686,0.015615970373728397,outputs/models/kasteren/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/kasteren/seed_42/mlp/ldp/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,42,mlp,fixed_attacker,ldp,,epsilon,0.5,,,,,,,0.21243523316062177,0.0,0.21243523316062177,0.0,4.015302398546965,1.0260024736617577,0.08884459069506238,outputs/models/kasteren/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/kasteren/seed_42/mlp/ldp/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,42,mlp,fixed_attacker,ldp,,epsilon,1.0,,,,,,,0.21243523316062177,0.0,0.21243523316062177,0.0,1.0163629007672998,0.5215905695428109,0.19496031992101998,outputs/models/kasteren/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/kasteren/seed_42/mlp/ldp/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,42,mlp,fixed_attacker,ldp,,epsilon,2.0,,,,,,,0.21243523316062177,0.03626943005181347,0.1761658031088083,0.00352471884716648,0.26003230346298056,0.2649887287854631,0.40909793684356066,outputs/models/kasteren/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/kasteren/seed_42/mlp/ldp/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,42,mlp,fixed_attacker,ldp,,epsilon,5.0,,,,,,,0.21243523316062177,0.04145077720207254,0.17098445595854922,0.0055007042770646,0.042629884196748784,0.10690092820069179,0.7854737594823707,outputs/models/kasteren/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/kasteren/seed_42/mlp/ldp/fixed_attacker/parameter_scan/comparison_results.csv
