event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,3,,0,48,40914.0,40250,40914.0,,,,135,40914000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=0 bytes=48 time_ms=40250
TX,DUMMY,3,,0,48,40915.0,40251,40915.0,,,,136,40915000	ID:3	[INFO: Metric    ] METRIC_TX type=DUMMY node=3 seq=0 bytes=48 time_ms=40251
RX,REAL,,3,0,48,40978.168,40475,40978.168,40250,40475,64.16799999999785,137,40978168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=0 send_ms=40250 recv_ms=40475 bytes=48
RX,DUMMY,,3,0,48,40997.168,40494,40997.168,40251,40494,,138,40997168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=3 seq=0 send_ms=40251 recv_ms=40494 bytes=48
TX,REAL,7,,3,48,45184.0,44865,45184.0,,,,141,45184000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=44865
RX,REAL,,7,3,48,45219.88,44716,45219.88,44865,44716,35.87999999999738,142,45219880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=44865 recv_ms=44716 bytes=48
TX,REAL,6,,2,48,45374.0,44435,45374.0,,,,144,45374000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=2 bytes=48 time_ms=44435
RX,REAL,,6,2,48,45379.88,44876,45379.88,44435,44876,5.879999999997381,145,45379880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=2 send_ms=44435 recv_ms=44876 bytes=48
TX,REAL,2,,2,48,46013.0,45150,46013.0,,,,147,46013000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=2 bytes=48 time_ms=45150
TX,DUMMY,2,,2,48,46014.0,45151,46014.0,,,,148,46014000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=2 bytes=48 time_ms=45151
RX,REAL,,2,2,48,46052.88,45549,46052.88,45150,45549,39.87999999999738,149,46052880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=2 send_ms=45150 recv_ms=45549 bytes=48
RX,DUMMY,,2,2,48,46067.88,45564,46067.88,45151,45564,,150,46067880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=2 send_ms=45151 recv_ms=45564 bytes=48
TX,REAL,4,,1,48,46578.0,46285,46578.0,,,,154,46578000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=46285
RX,REAL,,4,1,48,46635.168,46132,46635.168,46285,46132,57.167999999997846,155,46635168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=1 send_ms=46285 recv_ms=46132 bytes=48
TX,REAL,5,,1,48,49326.0,48989,49326.0,,,,157,49326000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=1 bytes=48 time_ms=48989
RX,REAL,,5,1,48,49379.168,48876,49379.168,48989,48876,53.167999999997846,158,49379168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=1 send_ms=48989 recv_ms=48876 bytes=48
TX,REAL,3,,1,48,49916.0,49252,49916.0,,,,160,49916000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=49252
RX,REAL,,3,1,48,49972.168,49469,49972.168,49252,49469,56.167999999997846,161,49972168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=49252 recv_ms=49469 bytes=48
TX,REAL,7,,4,48,53185.0,52866,53185.0,,,,163,53185000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=4 bytes=48 time_ms=52866
RX,REAL,,7,4,48,53206.88,52703,53206.88,52866,52703,21.87999999999738,164,53206880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=4 send_ms=52866 recv_ms=52703 bytes=48
TX,REAL,6,,3,48,54375.0,53436,54375.0,,,,166,54375000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=3 bytes=48 time_ms=53436
RX,REAL,,6,3,48,54387.88,53884,54387.88,53436,53884,12.87999999999738,167,54387880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=3 send_ms=53436 recv_ms=53884 bytes=48
TX,REAL,2,,3,48,55015.0,54152,55015.0,,,,169,55015000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=54152
RX,REAL,,2,3,48,55041.88,54538,55041.88,54152,54538,26.87999999999738,170,55041880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=54152 recv_ms=54538 bytes=48
TX,REAL,3,,2,48,57917.0,57253,57917.0,,,,172,57917000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=2 bytes=48 time_ms=57253
RX,REAL,,3,2,48,57995.168,57492,57995.168,57253,57492,78.16799999999785,173,57995168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=2 send_ms=57253 recv_ms=57492 bytes=48
TX,REAL,4,,2,48,58579.0,58286,58579.0,,,,175,58579000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=2 bytes=48 time_ms=58286
TX,DUMMY,4,,1,48,58580.0,58287,58580.0,,,,176,58580000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=1 bytes=48 time_ms=58287
RX,REAL,,4,2,48,58659.168,58156,58659.168,58286,58156,80.16799999999785,177,58659168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=2 send_ms=58286 recv_ms=58156 bytes=48
RX,DUMMY,,4,1,48,58701.168,58198,58701.168,58287,58198,,178,58701168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=1 send_ms=58287 recv_ms=58198 bytes=48
TX,REAL,5,,2,48,60327.0,59990,60327.0,,,,181,60327000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=2 bytes=48 time_ms=59990
RX,REAL,,5,2,48,60397.168,59894,60397.168,59990,59894,70.16799999999785,182,60397168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=2 send_ms=59990 recv_ms=59894 bytes=48
TX,REAL,7,,5,48,63186.0,62867,63186.0,,,,185,63186000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=5 bytes=48 time_ms=62867
TX,DUMMY,7,,1,48,63187.0,62868,63187.0,,,,186,63187000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=1 bytes=48 time_ms=62868
RX,REAL,,7,5,48,63199.88,62696,63199.88,62867,62696,13.87999999999738,187,63199880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=5 send_ms=62867 recv_ms=62696 bytes=48
RX,DUMMY,,7,1,48,63226.88,62723,63226.88,62868,62723,,189,63226880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=1 send_ms=62868 recv_ms=62723 bytes=48
TX,REAL,2,,4,48,64016.0,63153,64016.0,,,,191,64016000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=4 bytes=48 time_ms=63153
RX,REAL,,2,4,48,64058.88,63555,64058.88,63153,63555,42.87999999999738,192,64058880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=4 send_ms=63153 recv_ms=63555 bytes=48
TX,REAL,6,,4,48,64376.0,63437,64376.0,,,,194,64376000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=4 bytes=48 time_ms=63437
