dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.10099337748344371,0.402317880794702,-0.30132450331125826,0.32865653329661165,0.01986109039979685,0.09967601395178764,0.7322617730435088,outputs/models/mock/seed_123/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.10099337748344371,0.3228476821192053,-0.22185430463576156,0.213737904759061,0.17874981359838288,0.29902804185691495,0.33726778986363065,outputs/models/mock/seed_123/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.10099337748344371,0.2980132450331126,-0.19701986754966888,0.21646244074069543,0.4965272599019954,0.4983800696929921,0.21006852069535115,outputs/models/mock/seed_123/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.10099337748344371,0.24006622516556292,-0.1390728476821192,0.17674343626391648,1.9861090396065284,0.9967601394076739,0.10670331302691706,outputs/models/mock/seed_123/mlp/baseline/best_mlp.pt,outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
