method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r
noise,noise_scale,0.1,0.7831125827814569,0.6622516556291391,0.12086092715231778,0.5840731183007236,0.01986109039979685,0.09967601395178764,0.7322617730435088
noise,noise_scale,0.3,0.7831125827814569,0.42549668874172186,0.35761589403973504,0.3166744299267096,0.17874981359838288,0.29902804185691495,0.33726778986363065
noise,noise_scale,0.5,0.7831125827814569,0.3791390728476821,0.4039735099337748,0.2466322587837273,0.4965272599019954,0.4983800696929921,0.21006852069535115
noise,noise_scale,1.0,0.7831125827814569,0.32450331125827814,0.45860927152317876,0.1877130791649319,1.9861090396065284,0.9967601394076739,0.10670331302691706
