dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
casas_hh101,2026,mlp,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.4669719618093057,0.4146973689895019,0.052274592819803845,0.12852412904995925,0.020009763579637158,0.1000194840168086,0.9349244550851736,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.17293817773361558,0.21601071413142092,-0.04307253639780534,0.11310293130841599,0.1800878722069278,0.30005845204346454,0.6599224364820522,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.4313301939776213,0.3711496090206074,0.060180584957013894,0.10580457338054959,0.500244089453987,0.5000974200760557,0.4662592574597787,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.4130124854192768,0.35594245474575537,0.057070030673521455,0.0905172271136922,2.0009763578289146,1.0001948401506802,0.254890681657489,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/noise/retrain_attacker/parameter_scan/comparison_results.csv
