method,seed_count,real_packet_count_mean,dummy_packet_count_mean,total_packet_count_mean,dummy_packet_ratio_mean,packet_overhead_ratio_mean,real_byte_count_mean,dummy_byte_count_mean,total_byte_count_mean,dummy_byte_ratio_mean,byte_overhead_ratio_mean,mean_iat_ms_mean,p95_iat_ms_mean,mean_delay_ms_mean,p95_delay_ms_mean,energy_mj_mean,energy_overhead_ratio_mean,delay_metric_available,energy_metric_available,metric_type,is_hardware_measurement
baseline,3,1064.0,0.0,1064.0,0.0,0.0,51072.0,0.0,51072.0,0.0,0.0,1675.7289792335353,4353.716666666666,39.27065007726771,76.1680000000216,752272.3434576001,,True,True,cooja_simulation_and_energest_estimate,False
dummy_noise,3,1063.0,209.33333333333334,1272.3333333333333,0.1644224774448029,0.19691761088264012,51024.0,10048.0,61072.0,0.1644224774448029,0.19691761088264012,1401.773728595721,4508.416666666664,41.51874107570399,82.16800000000015,752858.2628512001,0.0007847524770290452,True,True,cooja_simulation_and_energest_estimate,False
dummy_ldp,3,1069.3333333333333,367.3333333333333,1436.6666666666667,0.2555743250051861,0.3435114084534374,51328.0,17632.0,68960.0,0.2555743250051861,0.3435114084534374,1241.7890317593192,4203.7,41.46311729787541,82.96800000000802,753396.2765824,0.0015016495581371715,True,True,cooja_simulation_and_energest_estimate,False
dummy_adaptive_ldp,3,1065.6666666666667,298.6666666666667,1364.3333333333333,0.21871994062019806,0.28021950352777264,51152.0,14336.0,65488.0,0.21871994062019806,0.28021950352777264,1307.848921501564,4153.666666666666,40.64120273952099,80.52293333335159,751909.8532512,-0.0004748856448004478,True,True,cooja_simulation_and_energest_estimate,False
