event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,0,48,16367.0,15974,16367.0,,,,76,16367000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=15974
TX,DUMMY,2,,0,48,16368.0,15975,16368.0,,,,77,16368000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=0 bytes=48 time_ms=15975
RX,REAL,,2,0,48,16384.88,15953,16384.88,15974,15953,17.88000000000102,78,16384880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=15974 recv_ms=15953 bytes=48
RX,DUMMY,,2,0,48,16396.88,15965,16396.88,15975,15965,,79,16396880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=0 send_ms=15975 recv_ms=15965 bytes=48
TX,REAL,7,,0,48,22056.0,22034,22056.0,,,,85,22056000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=22034
RX,REAL,,7,0,48,22076.88,21645,22076.88,22034,21645,20.88000000000102,86,22076880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=22034 recv_ms=21645 bytes=48
TX,REAL,6,,0,48,22826.0,22738,22826.0,,,,90,22826000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=22738
RX,REAL,,6,0,48,22867.88,22436,22867.88,22738,22436,41.88000000000102,91,22867880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=22738 recv_ms=22436 bytes=48
TX,REAL,2,,1,48,25369.0,24976,25369.0,,,,95,25369000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=24976
TX,DUMMY,2,,1,48,25370.0,24977,25370.0,,,,96,25370000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=1 bytes=48 time_ms=24977
RX,REAL,,2,1,48,25392.88,24961,25392.88,24976,24961,23.88000000000102,97,25392880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=24976 recv_ms=24961 bytes=48
RX,DUMMY,,2,1,48,25420.88,24989,25420.88,24977,24989,,99,25420880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=1 send_ms=24977 recv_ms=24989 bytes=48
TX,REAL,6,,1,48,32827.0,32739,32827.0,,,,102,32827000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=1 bytes=48 time_ms=32739
RX,REAL,,6,1,48,32860.88,32429,32860.88,32739,32429,33.87999999999738,103,32860880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=1 send_ms=32739 recv_ms=32429 bytes=48
