method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r
noise,noise_scale,0.1,0.836443841194435,0.8113335595520869,0.025110281642348187,0.8076459161842408,0.020005704539545116,0.10001070431663817,0.9428749518556957
noise,noise_scale,0.3,0.836443841194435,0.5422463522225992,0.29419748897183584,0.5117912519739302,0.18005134086116698,0.30003211294168003,0.6862032538576578
noise,noise_scale,0.5,0.836443841194435,0.4241601628775025,0.4122836783169325,0.36904399627404344,0.5001426135508552,0.5000535215727714,0.492560356051882
noise,noise_scale,1.0,0.836443841194435,0.27621309806582967,0.5602307431286053,0.2213038942370207,2.0005704541311173,1.0001070431622336,0.2722627174272455
