dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,42,lstm,fixed_attacker,ldp,,epsilon,0.1,,,,,,,0.7649006622516556,0.26986754966887416,0.4950331125827815,0.12913233844997307,99.73573881683231,5.018077159608609,0.009010194641599117,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,ldp,,epsilon,0.5,,,,,,,0.7649006622516556,0.29635761589403975,0.4685430463576159,0.16018491837962295,3.9993996226093915,1.0188196481856244,0.04984694649620322,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,ldp,,epsilon,1.0,,,,,,,0.7649006622516556,0.3360927152317881,0.4288079470198676,0.19165992524134562,1.0058371716019419,0.5168689694140145,0.108581906577775,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,ldp,,epsilon,2.0,,,,,,,0.7649006622516556,0.40066225165562913,0.3642384105960265,0.27121270355180693,0.2551926741257136,0.2634765596685148,0.23871398985854023,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/parameter_scan/comparison_results.csv
mock,42,lstm,fixed_attacker,ldp,,epsilon,5.0,,,,,,,0.7649006622516556,0.5513245033112583,0.2135761589403974,0.4513490649874069,0.04217907785360721,0.10792182397836075,0.5791564711245268,outputs/models/mock/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/mock/seed_42/lstm/ldp/fixed_attacker/parameter_scan/comparison_results.csv
