dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
casas_hh101,123,lstm,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.4499071153929235,0.45785630967295976,-0.007949194280036265,0.2809930146567864,0.020008491159474933,0.10003253840947098,0.934929702309991,outputs/models/casas_hh101/seed_123/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_123/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,123,lstm,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.4499071153929235,0.2141530219898907,0.2357540934030328,0.16875642516165298,0.1800764204409666,0.3000976152278591,0.6599485561164212,outputs/models/casas_hh101/seed_123/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_123/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,123,lstm,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.4499071153929235,0.1062340692098328,0.3436730461830907,0.0975851661152169,0.500212278974836,0.5001626920327928,0.4662941603323881,outputs/models/casas_hh101/seed_123/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_123/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,123,lstm,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.4499071153929235,0.0423380999697585,0.407569015423165,0.038720189654841135,2.00084911591225,1.0003253840683217,0.25492868846293276,outputs/models/casas_hh101/seed_123/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_123/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
