dataset,seed,model_type,mode,method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source
uci_har,123,mlp,retrain_attacker,noise,noise_scale,0.1,0.67119104173736,0.7933491686460807,-0.12215812690872074,0.7877656769756141,0.019998563467740565,0.10000603960415501,0.9428839027551253,outputs/models/uci_har/seed_123/mlp/baseline/best_mlp.pt
uci_har,123,mlp,retrain_attacker,noise,noise_scale,0.3,0.39124533423820834,0.6929080420766881,-0.30166270783847976,0.6851180532440949,0.1799870711960165,0.30001811880149476,0.6861667245572816,outputs/models/uci_har/seed_123/mlp/baseline/best_mlp.pt
uci_har,123,mlp,retrain_attacker,noise,noise_scale,0.5,0.3990498812351544,0.6141839158466237,-0.2151340346114693,0.6059480958948135,0.4999640866775363,0.500030198002745,0.4924533650345407,outputs/models/uci_har/seed_123/mlp/baseline/best_mlp.pt
uci_har,123,mlp,retrain_attacker,noise,noise_scale,1.0,0.3627417712928402,0.5469969460468272,-0.18425517475398706,0.5351352206350463,1.9998563467076873,1.0000603960051846,0.2720730699761417,outputs/models/uci_har/seed_123/mlp/baseline/best_mlp.pt
