event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,3,,1,48,43977.0,43765,43977.0,,,,133,43977000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=1 bytes=48 time_ms=43765
RX,REAL,,3,1,48,44022.304,43591,44022.304,43765,43591,45.30399999999645,134,44022304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=1 send_ms=43765 recv_ms=43591 bytes=48
TX,REAL,5,,1,48,44056.0,43086,44056.0,,,,135,44056000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=1 bytes=48 time_ms=43086
RX,REAL,,5,1,48,44141.304,43710,44141.304,43086,43710,85.30399999999645,137,44141304	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=1 send_ms=43086 recv_ms=43710 bytes=48
TX,REAL,2,,3,48,47370.0,46977,47370.0,,,,139,47370000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=46977
RX,REAL,,2,3,48,47400.88,46969,47400.88,46977,46969,30.87999999999738,140,47400880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=46977 recv_ms=46969 bytes=48
TX,REAL,7,,3,48,49060.0,49038,49060.0,,,,142,49060000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=3 bytes=48 time_ms=49038
RX,REAL,,7,3,48,49099.88,48668,49099.88,49038,48668,39.87999999999738,143,49099880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=3 send_ms=49038 recv_ms=48668 bytes=48
TX,REAL,3,,2,48,52978.0,52766,52978.0,,,,145,52978000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=2 bytes=48 time_ms=52766
RX,REAL,,3,2,48,53055.168,52624,53055.168,52766,52624,77.16799999999785,146,53055168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=2 send_ms=52766 recv_ms=52624 bytes=48
TX,REAL,5,,2,48,53057.0,52087,53057.0,,,,147,53057000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=2 bytes=48 time_ms=52087
TX,REAL,4,,1,48,53075.04,52127,53075.04,,,,148,53075040	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=1 bytes=48 time_ms=52127
TX,DUMMY,4,,0,48,53076.04,52127,53076.04,,,,149,53076040	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=0 bytes=48 time_ms=52127
RX,REAL,,4,1,48,53171.168,52740,53171.168,52127,52740,96.12799999999697,150,53171168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=1 send_ms=52127 recv_ms=52740 bytes=48
RX,REAL,,5,2,48,53181.168,52750,53181.168,52087,52750,124.16799999999785,152,53181168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=2 send_ms=52087 recv_ms=52750 bytes=48
RX,DUMMY,,4,0,48,53314.168,52883,53314.168,52127,52883,,154,53314168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=0 send_ms=52127 recv_ms=52883 bytes=48
TX,REAL,6,,3,48,53830.0,53742,53830.0,,,,158,53830000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=3 bytes=48 time_ms=53742
TX,DUMMY,6,,1,48,53831.0,53743,53831.0,,,,159,53831000	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=1 bytes=48 time_ms=53743
RX,REAL,,6,3,48,53865.88,53434,53865.88,53742,53434,35.87999999999738,160,53865880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=3 send_ms=53742 recv_ms=53434 bytes=48
RX,DUMMY,,6,1,48,53900.88,53469,53900.88,53743,53469,,162,53900880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=1 send_ms=53743 recv_ms=53469 bytes=48
TX,REAL,7,,4,48,58061.0,58039,58061.0,,,,164,58061000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=4 bytes=48 time_ms=58039
RX,REAL,,7,4,48,58067.88,57636,58067.88,58039,57636,6.879999999997381,165,58067880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=4 send_ms=58039 recv_ms=57636 bytes=48
TX,REAL,2,,4,48,58371.0,57978,58371.0,,,,167,58371000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=4 bytes=48 time_ms=57978
RX,REAL,,2,4,48,58383.88,57952,58383.88,57978,57952,12.87999999999738,168,58383880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=4 send_ms=57978 recv_ms=57952 bytes=48
TX,REAL,3,,3,48,61979.0,61767,61979.0,,,,170,61979000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=3 bytes=48 time_ms=61767
RX,REAL,,3,3,48,62029.168,61598,62029.168,61767,61598,50.167999999997846,171,62029168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=3 send_ms=61767 recv_ms=61598 bytes=48
TX,REAL,5,,3,48,62058.0,61088,62058.0,,,,172,62058000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=3 bytes=48 time_ms=61088
TX,DUMMY,5,,0,48,62059.0,61089,62059.0,,,,173,62059000	ID:5	[INFO: Metric    ] METRIC_TX type=DUMMY node=5 seq=0 bytes=48 time_ms=61089
RX,REAL,,5,3,48,62145.168,61714,62145.168,61088,61714,87.16799999999785,175,62145168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=3 send_ms=61088 recv_ms=61714 bytes=48
RX,DUMMY,,5,0,48,62195.304,61764,62195.304,61089,61764,,177,62195304	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=5 seq=0 send_ms=61089 recv_ms=61764 bytes=48
TX,REAL,4,,2,48,63077.0,62128,63077.0,,,,179,63077000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=2 bytes=48 time_ms=62128
RX,REAL,,4,2,48,63125.168,62694,63125.168,62128,62694,48.167999999997846,180,63125168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=2 send_ms=62128 recv_ms=62694 bytes=48
TX,REAL,6,,4,48,64832.0,64744,64832.0,,,,183,64832000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=4 bytes=48 time_ms=64744
RX,REAL,,6,4,48,64858.88,64427,64858.88,64744,64427,26.87999999999738,184,64858880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=4 send_ms=64744 recv_ms=64427 bytes=48
TX,REAL,2,,5,48,67372.0,66979,67372.0,,,,186,67372000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=5 bytes=48 time_ms=66979
