dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
casas_hh101,42,lstm,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.4712057718062816,0.47129217609193413,-8.640428565254155e-05,0.28338593953964714,0.019993298872858285,0.09998474984376986,0.9349575321805946,outputs/models/casas_hh101/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,lstm,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.4637318010973344,0.44074826111375126,0.022983539983583157,0.2354189651715527,0.1799396898532196,0.2999542495258309,0.6599298501934221,outputs/models/casas_hh101/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,lstm,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.4220417332699702,0.3992310018576921,0.022810731412278074,0.19154527311294672,0.49983247182618573,0.49992374920945465,0.4661712297498146,outputs/models/casas_hh101/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,lstm,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.4474445932518253,0.3780187497299866,0.06942584352183867,0.14209687221338063,1.9993298872849052,0.9998474984186282,0.25467764565401985,outputs/models/casas_hh101/seed_42/lstm/baseline/best_lstm.pt,outputs/experiments/casas_hh101/seed_42/lstm/noise/retrain_attacker/parameter_scan/comparison_results.csv
