method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r
noise,noise_scale,0.1,0.40932642487046633,0.3316062176165803,0.07772020725388601,0.2961891544128386,0.019964127333676723,0.0999129475019435,0.8764555930676367
noise,noise_scale,0.3,0.40932642487046633,0.17098445595854922,0.2383419689119171,0.12424341905473979,0.17967714590666076,0.29973884243215504,0.5177504399137942
noise,noise_scale,0.5,0.40932642487046633,0.09844559585492228,0.31088082901554404,0.05377499919022411,0.4991031832390984,0.4995647374222633,0.34050880090111196
noise,noise_scale,1.0,0.40932642487046633,0.046632124352331605,0.3626943005181347,0.029088050314465406,1.9964127329348365,0.999129474848267,0.17703712559883297
