event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
TX,REAL,2,,0,48,15424.0,15031,15424.0,,,,76,15424000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=0 bytes=48 time_ms=15031
RX,REAL,,2,0,48,15441.88,15010,15441.88,15031,15010,17.8799999999992,77,15441880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=0 send_ms=15031 recv_ms=15010 bytes=48
TX,REAL,7,,0,48,18892.0,18870,18892.0,,,,81,18892000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=0 bytes=48 time_ms=18870
RX,REAL,,7,0,48,18912.88,18481,18912.88,18870,18481,20.88000000000102,82,18912880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=0 send_ms=18870 recv_ms=18481 bytes=48
TX,REAL,6,,0,48,20762.0,20674,20762.0,,,,86,20762000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=0 bytes=48 time_ms=20674
RX,REAL,,6,0,48,20769.88,20338,20769.88,20674,20338,7.880000000001019,87,20769880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=0 send_ms=20674 recv_ms=20338 bytes=48
TX,REAL,2,,1,48,26059.0,25666,26059.0,,,,92,26059000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=1 bytes=48 time_ms=25666
RX,REAL,,2,1,48,26108.88,25677,26108.88,25666,25677,49.88000000000102,93,26108880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=1 send_ms=25666 recv_ms=25677 bytes=48
TX,REAL,7,,1,48,28273.0,28251,28273.0,,,,95,28273000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=1 bytes=48 time_ms=28251
RX,REAL,,7,1,48,28287.88,27856,28287.88,28251,27856,14.880000000001019,96,28287880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=1 send_ms=28251 recv_ms=27856 bytes=48
TX,REAL,4,,0,48,29924.0,28975,29924.0,,,,100,29924000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=0 bytes=48 time_ms=28975
