method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r
ldp,epsilon,0.1,0.836443841194435,0.1845945028842891,0.6518493383101459,0.06426700228407602,100.15289709299083,5.1190681132842775,0.02342925797630614
ldp,epsilon,0.5,0.836443841194435,0.18221920597217509,0.6542246352222599,0.051407237219988515,4.072931831182229,1.1100004460157247,0.12618895914944497
ldp,epsilon,1.0,0.836443841194435,0.18221920597217509,0.6542246352222599,0.051451566542109806,1.0605381086205128,0.6019449754957229,0.2601775961557201
ldp,epsilon,2.0,0.836443841194435,0.19307770614183917,0.6433661350525959,0.07335547758026323,0.29803709745246076,0.3416891831290887,0.4919474561337335
ldp,epsilon,5.0,0.836443841194435,0.31761112996267393,0.5188327112317611,0.252286254695109,0.07669296580662249,0.17977954512039898,0.7956465516589725
