dataset,seed,model_type,mode,method,param_name,param_value,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source
uci_har,2026,lstm,retrain_attacker,ldp,epsilon,0.1,0.3233797081778079,0.2314217848659654,0.09195792331184252,0.1316982601507983,100.10362412853478,5.11789715343562,0.023752782427496916,outputs/models/uci_har/seed_2026/lstm/baseline/best_lstm.pt
uci_har,2026,lstm,retrain_attacker,ldp,epsilon,0.5,0.3481506616898541,0.2972514421445538,0.0508992195453003,0.18350346734767306,4.070907778236351,1.1097184631179762,0.1265828717931438,outputs/models/uci_har/seed_2026/lstm/baseline/best_lstm.pt
uci_har,2026,lstm,retrain_attacker,ldp,epsilon,1.0,0.44418052256532065,0.3637597556837462,0.08042076688157446,0.2635002820370183,1.0600398167787861,0.6018105147267301,0.2605436475570403,outputs/models/uci_har/seed_2026/lstm/baseline/best_lstm.pt
uci_har,2026,lstm,retrain_attacker,ldp,epsilon,2.0,0.3430607397353241,0.3959959280624364,-0.052935188327112304,0.3372515830140331,0.2979389954662075,0.34164034372291896,0.49216983265738057,outputs/models/uci_har/seed_2026/lstm/baseline/best_lstm.pt
uci_har,2026,lstm,retrain_attacker,ldp,epsilon,5.0,0.500508992195453,0.49949100780454697,0.0010179843909060016,0.3811408423084138,0.07669654515181805,0.17977569227294002,0.7956295088218572,outputs/models/uci_har/seed_2026/lstm/baseline/best_lstm.pt
