dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.17902967987212165,0.270747829092323,-0.09171814922020133,0.11070174197061741,0.20599970240155802,0.22904223018519984,0.5944773259572188,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.46835443037974683,0.3818637404415259,0.08649068993822095,0.08652753484144736,2.421392833662047,0.7920290698585475,0.1692866794294932,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.17656715773102347,0.39616364971702595,-0.21959649198600248,0.12265099270212951,0.0802233835924646,0.14551884333678836,0.7844888458756746,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.2340260076899814,0.41633905041690067,-0.18231304272691926,0.10797941282960705,1.1453094949055593,0.3474436215287518,0.2872217749249658,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.16412494059705363,0.36341642545470254,-0.19929148485764892,0.10903542029090112,0.22885046458605876,0.26097656395469443,0.5679442576271599,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
casas_hh101,2026,mlp,retrain_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.1747526677323195,0.4010454918563961,-0.22629282412407659,0.11766793921708919,0.2059997089416449,0.22904223509021246,0.594477318686286,outputs/models/casas_hh101/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_2026/mlp/adaptive_ldp/retrain_attacker/parameter_scan/comparison_results.csv
