dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.7974211062097047,0.28537495758398373,0.5120461486257211,0.2025814756439499,0.71507654144235,0.39126366903102044,0.3101393509287957,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.7974211062097047,0.166270783847981,0.6311503223617237,0.047856235960543024,4.736276066831992,1.0393630845962916,0.10108229074343435,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.7974211062097047,0.30607397353240584,0.4913471326772989,0.22302120007984474,0.1997337956605555,0.24900905904865203,0.5748389468718302,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.7974211062097047,0.28639294197488974,0.511028164234815,0.20520947484999677,0.6897769100774044,0.379357552017823,0.3165640044662474,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.7974211062097047,0.2823210044112657,0.5151001017984391,0.1993654741411347,0.8072118924484087,0.41266490046432036,0.2901071595892936,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,42,mlp,fixed_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.7974211062097047,0.28537495758398373,0.5120461486257211,0.2025814756439499,0.7150765333379957,0.3912636682095021,0.31013935279330734,outputs/models/uci_har/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_42/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
