dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
kasteren,2026,lstm,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.29015544041450775,0.25906735751295334,0.031088082901554404,0.20373168498168498,0.0200250451308732,0.10004135495476393,0.8765333121499805,outputs/models/kasteren/seed_2026/lstm/baseline/best_lstm.pt,outputs/experiments/kasteren/seed_2026/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,2026,lstm,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.29015544041450775,0.12435233160621761,0.16580310880829013,0.07364270425591181,0.18022540621383118,0.30012406486487236,0.5193414479167504,outputs/models/kasteren/seed_2026/lstm/baseline/best_lstm.pt,outputs/experiments/kasteren/seed_2026/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,2026,lstm,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.29015544041450775,0.08290155440414508,0.20725388601036265,0.05276294218601911,0.5006261283427053,0.5002067747473916,0.34292822306296156,outputs/models/kasteren/seed_2026/lstm/baseline/best_lstm.pt,outputs/experiments/kasteren/seed_2026/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
kasteren,2026,lstm,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.29015544041450775,0.05181347150259067,0.23834196891191708,0.027040912518853696,2.0025045133551562,1.000413549491593,0.1800777189098057,outputs/models/kasteren/seed_2026/lstm/baseline/best_lstm.pt,outputs/experiments/kasteren/seed_2026/lstm/noise/fixed_attacker/parameter_scan/comparison_results.csv
