dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
casas_hh101,42,mlp,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.43469996111807147,0.012658227848101266,0.4220417332699702,0.0007352941176470588,0.019993298872858285,0.09998474984376986,0.9349575321805946,outputs/models/casas_hh101/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_42/mlp/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,mlp,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.43469996111807147,0.012744632133753835,0.42195532898431765,0.000819198953093509,0.1799396898532196,0.2999542495258309,0.6599298501934221,outputs/models/casas_hh101/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_42/mlp/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,mlp,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.43469996111807147,0.01373828141875837,0.4209616796993131,0.0017318005401006813,0.49983247182618573,0.49992374920945465,0.4661712297498146,outputs/models/casas_hh101/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_42/mlp/noise/fixed_attacker/parameter_scan/comparison_results.csv
casas_hh101,42,mlp,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.43469996111807147,0.015379962846157169,0.4193199982719143,0.002876533101180714,1.9993298872849052,0.9998474984186282,0.25467764565401985,outputs/models/casas_hh101/seed_42/mlp/baseline/best_mlp.pt,outputs/experiments/casas_hh101/seed_42/mlp/noise/fixed_attacker/parameter_scan/comparison_results.csv
