accuracy_drop,baseline_acc,baseline_f1_macro,dataset,defended_acc,defended_f1_macro,input_shape,mae,method,mode,model_type,mse,num_classes,pearson_r,relative_accuracy_drop_percent,seed,source_files,test_size,train_size,val_size
0.4209616796993131,0.43469996111807147,0.20435528226837654,casas_hh101,0.01373828141875837,0.0017318005401006813,"(40,)",0.49992374920945465,noise,fixed_attacker,mlp,0.49983247182618573,34,0.4661712297498146,96.83959451401311,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_42\meta.json,23147,108019,23147
0.2453017669676416,0.43469996111807147,0.20435528226837654,casas_hh101,0.18939819415042985,0.08599736932032886,"(40,)",0.49992374920945465,noise,retrain_attacker,mlp,0.49983247182618573,34,0.4661712297498146,56.43013317431922,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\json_reports\mlp_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_42\meta.json,23147,108019,23147
0.2920464855056811,0.4499071153929235,0.28296235354441596,casas_hh101,0.15786062988724242,0.1234236206001496,"(30, 6)",0.2291392371113853,adaptive_ldp,fixed_attacker,lstm,0.20618137994927851,34,0.5943600899092415,64.91261763011332,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.046485505681081785,0.4499071153929235,0.28296235354441596,casas_hh101,0.4034216097118417,0.18616108278858032,"(30, 6)",0.2291392371113853,adaptive_ldp,retrain_attacker,lstm,0.20618137994927851,34,0.5943600899092415,10.332245054734013,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.41227804899123,0.4499071153929235,0.28296235354441596,casas_hh101,0.03762906640169352,0.03311543987360175,"(30, 6)",0.5528992152254002,ldp,fixed_attacker,lstm,1.0445092831841984,34,0.26939232422414516,91.63625888227386,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.11172074134877091,0.4499071153929235,0.28296235354441596,casas_hh101,0.3381863740441526,0.14288134740748654,"(30, 6)",0.5528992152254002,ldp,retrain_attacker,lstm,1.0445092831841984,34,0.26939232422414516,24.831956980987137,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.3436730461830907,0.4499071153929235,0.28296235354441596,casas_hh101,0.1062340692098328,0.0975851661152169,"(30, 6)",0.5001626920327928,noise,fixed_attacker,lstm,0.500212278974836,34,0.4662941603323881,76.38755521413482,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.08286170994081304,0.4499071153929235,0.28296235354441596,casas_hh101,0.36704540545211045,0.19966294090123635,"(30, 6)",0.5001626920327928,noise,retrain_attacker,lstm,0.500212278974836,34,0.4662941603323881,18.417514883810252,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.375642631874541,0.4379401218300428,0.20817268110303347,casas_hh101,0.06229748995550179,0.009551476048587975,"(40,)",0.2291392371113853,adaptive_ldp,fixed_attacker,mlp,0.20618137994927851,34,0.5943600899092415,85.77488408799448,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
0.06704972566639306,0.4379401218300428,0.20817268110303347,casas_hh101,0.3708903961636497,0.0994403302290165,"(40,)",0.2291392371113853,adaptive_ldp,retrain_attacker,mlp,0.20618137994927851,34,0.5943600899092415,15.31024958074381,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\json_reports\mlp_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\adaptive_ldp\defense_report.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\data\processed\real_public_benchmark\casas_hh101\seed_123\meta.json,23147,108019,23147
