accuracy_drop,baseline_acc,dataset,defended_acc,defended_f1_macro,mae,method,mode,model_type,mse,parameter_name,parameter_value,pearson_r,seed,source_file
0.3626943005181347,0.4093264248704663,kasteren,0.0466321243523316,0.0290880503144654,0.999129474848267,noise,fixed_attacker,lstm,1.9964127329348365,noise_scale,1.0,0.1770371255988329,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_42\noise\comparisons\comparison_results.csv
0.0518134715025906,0.3626943005181347,kasteren,0.310880829015544,0.2464680451285619,0.0996158318044412,noise,fixed_attacker,lstm,0.0198288155390927,noise_scale,0.1,0.8773920784468867,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_123\noise\comparisons\comparison_results.csv
0.1865284974093264,0.3626943005181347,kasteren,0.1761658031088082,0.1340226311082447,0.2988474953759746,noise,fixed_attacker,lstm,0.1784593398759624,noise_scale,0.3,0.5204350427033354,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_123\noise\comparisons\comparison_results.csv
0.2538860103626943,0.3626943005181347,kasteren,0.1088082901554404,0.094020879231756,0.4980791589528379,noise,fixed_attacker,lstm,0.4957203885891923,noise_scale,0.5,0.3433903123199384,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_123\noise\comparisons\comparison_results.csv
0.305699481865285,0.3626943005181347,kasteren,0.0569948186528497,0.0367545308721779,0.996158317908096,noise,fixed_attacker,lstm,1.982881554313904,noise_scale,1.0,0.1797541482042005,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_123\noise\comparisons\comparison_results.csv
0.0310880829015544,0.2901554404145077,kasteren,0.2590673575129533,0.2037316849816849,0.1000413549547639,noise,fixed_attacker,lstm,0.0200250451308732,noise_scale,0.1,0.8765333121499805,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_2026\noise\comparisons\comparison_results.csv
0.1658031088082901,0.2901554404145077,kasteren,0.1243523316062176,0.0736427042559118,0.3001240648648723,noise,fixed_attacker,lstm,0.1802254062138311,noise_scale,0.3,0.5193414479167504,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_2026\noise\comparisons\comparison_results.csv
0.2072538860103626,0.2901554404145077,kasteren,0.082901554404145,0.0527629421860191,0.5002067747473916,noise,fixed_attacker,lstm,0.5006261283427053,noise_scale,0.5,0.3429282230629615,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_2026\noise\comparisons\comparison_results.csv
0.238341968911917,0.2901554404145077,kasteren,0.0518134715025906,0.0270409125188536,1.000413549491593,noise,fixed_attacker,lstm,2.002504513355156,noise_scale,1.0,0.1800777189098057,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\kasteren\seed_2026\noise\comparisons\comparison_results.csv
0.0049682464250226,0.4722426232341124,casas_hh101,0.4672743768090897,0.2789866927092279,0.0999847498437698,noise,fixed_attacker,lstm,0.0199932988728582,noise_scale,0.1,0.9349575321805946,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\comparisons\comparison_results.csv
0.2702726055212339,0.4722426232341124,casas_hh101,0.2019700177128785,0.1557109693193919,0.2999542495258309,noise,fixed_attacker,lstm,0.1799396898532196,noise_scale,0.3,0.6599298501934221,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\comparisons\comparison_results.csv
0.3925778718624444,0.4722426232341124,casas_hh101,0.079664751371668,0.0846753687478826,0.4999237492094546,noise,fixed_attacker,lstm,0.4998324718261857,noise_scale,0.5,0.4661712297498146,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\comparisons\comparison_results.csv
0.4365144511167754,0.4722426232341124,casas_hh101,0.035728172117337,0.0358334318794934,0.9998474984186282,noise,fixed_attacker,lstm,1.9993298872849048,noise_scale,1.0,0.2546776456540198,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_42\noise\comparisons\comparison_results.csv
-0.0079491942800362,0.4499071153929235,casas_hh101,0.4578563096729597,0.2809930146567864,0.1000325384094709,noise,fixed_attacker,lstm,0.0200084911594749,noise_scale,0.1,0.934929702309991,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\comparisons\comparison_results.csv
0.2357540934030328,0.4499071153929235,casas_hh101,0.2141530219898907,0.1687564251616529,0.3000976152278591,noise,fixed_attacker,lstm,0.1800764204409666,noise_scale,0.3,0.6599485561164212,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\comparisons\comparison_results.csv
0.3436730461830907,0.4499071153929235,casas_hh101,0.1062340692098328,0.0975851661152169,0.5001626920327928,noise,fixed_attacker,lstm,0.500212278974836,noise_scale,0.5,0.4662941603323881,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\comparisons\comparison_results.csv
0.407569015423165,0.4499071153929235,casas_hh101,0.0423380999697585,0.0387201896548411,1.0003253840683215,noise,fixed_attacker,lstm,2.00084911591225,noise_scale,1.0,0.2549286884629327,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_123\noise\comparisons\comparison_results.csv
0.0098932907072191,0.5245604181967426,casas_hh101,0.5146671274895235,0.2994937663870751,0.1000194840168086,noise,fixed_attacker,lstm,0.0200097635796371,noise_scale,0.1,0.9349244550851736,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_2026\noise\comparisons\comparison_results.csv
0.3307124033352054,0.5245604181967426,casas_hh101,0.1938480148615371,0.1653550649188543,0.3000584520434645,noise,fixed_attacker,lstm,0.1800878722069278,noise_scale,0.3,0.6599224364820522,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_2026\noise\comparisons\comparison_results.csv
0.4271395861234717,0.5245604181967426,casas_hh101,0.0974208320732708,0.0918154924375684,0.5000974200760557,noise,fixed_attacker,lstm,0.500244089453987,noise_scale,0.5,0.4662592574597787,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_2026\noise\comparisons\comparison_results.csv
0.4728906553765067,0.5245604181967426,casas_hh101,0.0516697628202358,0.0383632809943502,1.0001948401506802,noise,fixed_attacker,lstm,2.0009763578289146,noise_scale,1.0,0.254890681657489,2026,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\real_public_benchmark\casas_hh101\seed_2026\noise\comparisons\comparison_results.csv
