dataset,seed,model_type,mode,method,profile_name,param_name,param_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_accuracy,defended_accuracy,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_default,profile,1,0.4,4.0,0.5,0.5,False,,0.8052256532066508,0.26331862911435355,0.5419070240922973,0.16748001169858698,0.7143726837161751,0.39118273498813716,0.31017781992125315,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_strong_privacy,profile,2,0.2,1.0,0.5,0.5,False,,0.8052256532066508,0.166610111978283,0.6386155412283678,0.047605196819856505,4.733318577165024,1.0392722282526714,0.10097236564721498,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_weak_privacy,profile,3,1.0,6.0,0.5,0.5,False,,0.8052256532066508,0.29487614523243977,0.5103495079742111,0.19124324536895523,0.1996186941836097,0.24895706910033802,0.5748649990855107,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_sensitivity_only,profile,4,0.4,4.0,1.0,0.0,False,,0.8052256532066508,0.2680692229385816,0.5371564302680693,0.17135824806303168,0.6885317922747144,0.3792369560686639,0.3168052446447299,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_traffic_only,profile,5,0.4,4.0,0.0,1.0,False,,0.8052256532066508,0.2568713946386155,0.5483542585680353,0.16201657089822372,0.8065084918944575,0.4126148080420119,0.29005694875906746,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
uci_har,2026,mlp,fixed_attacker,adaptive_ldp,adaptive_edge_cap_on,profile,6,0.4,4.0,0.5,0.5,True,100000,0.8052256532066508,0.26331862911435355,0.5419070240922973,0.16748001169858698,0.7143726758369807,0.3911827341900356,0.3101778217884435,outputs/models/uci_har/seed_2026/mlp/baseline/best_mlp.pt,outputs/experiments/uci_har/seed_2026/mlp/adaptive_ldp/fixed_attacker/parameter_scan/comparison_results.csv
