dataset,seed,model_type,mode,method,profile_name,parameter_name,parameter_value,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,edge_inverse_budget_cap,baseline_acc,defended_acc,accuracy_drop,defended_f1_macro,mse,mae,pearson_r,model_source,source_file
mock,123,lstm,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.7831125827814569,0.6622516556291391,0.12086092715231778,0.5840731183007236,0.01986109039979685,0.09967601395178764,0.7322617730435088,,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,123,lstm,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.7831125827814569,0.42549668874172186,0.35761589403973504,0.3166744299267096,0.17874981359838288,0.29902804185691495,0.33726778986363065,,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,123,lstm,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.7831125827814569,0.3791390728476821,0.4039735099337748,0.2466322587837273,0.4965272599019954,0.4983800696929921,0.21006852069535115,,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,123,lstm,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.7831125827814569,0.32450331125827814,0.45860927152317876,0.1877130791649319,1.9861090396065284,0.9967601394076739,0.10670331302691706,,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,123,lstm,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.6258278145695364,0.6473509933774835,-0.021523178807947074,0.6024971273214936,0.01986109039979685,0.09967601395178764,0.7322617730435088,outputs/models/full_multiseed/seed_123/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,123,lstm,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.5463576158940397,0.5016556291390728,0.04470198675496695,0.4054855387156592,0.17874981359838288,0.29902804185691495,0.33726778986363065,outputs/models/full_multiseed/seed_123/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,123,lstm,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.37748344370860926,0.36920529801324503,0.008278145695364225,0.3007413849018401,0.4965272599019954,0.4983800696929921,0.21006852069535115,outputs/models/full_multiseed/seed_123/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,123,lstm,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.4056291390728477,0.28642384105960267,0.11920529801324503,0.22303670562811423,1.9861090396065284,0.9967601394076739,0.10670331302691706,outputs/models/full_multiseed/seed_123/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,123,mlp,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.48344370860927155,0.3195364238410596,0.16390728476821192,0.24137087492258869,0.01986109039979685,0.09967601395178764,0.7322617730435088,outputs/models/full_multiseed/seed_123/best_mlp.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,123,mlp,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.48344370860927155,0.22682119205298013,0.2566225165562914,0.15218634386299126,0.17874981359838288,0.29902804185691495,0.33726778986363065,outputs/models/full_multiseed/seed_123/best_mlp.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,123,mlp,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.48344370860927155,0.21026490066225165,0.2731788079470199,0.12967502742783643,0.4965272599019954,0.4983800696929921,0.21006852069535115,outputs/models/full_multiseed/seed_123/best_mlp.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,123,mlp,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.48344370860927155,0.20364238410596028,0.2798013245033113,0.11705140748609286,1.9861090396065284,0.9967601394076739,0.10670331302691706,outputs/models/full_multiseed/seed_123/best_mlp.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.10099337748344371,0.402317880794702,-0.30132450331125826,0.32865653329661165,0.01986109039979685,0.09967601395178764,0.7322617730435088,outputs/models/full_multiseed/seed_123/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.10099337748344371,0.3228476821192053,-0.22185430463576156,0.213737904759061,0.17874981359838288,0.29902804185691495,0.33726778986363065,outputs/models/full_multiseed/seed_123/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.10099337748344371,0.2980132450331126,-0.19701986754966888,0.21646244074069543,0.4965272599019954,0.4983800696929921,0.21006852069535115,outputs/models/full_multiseed/seed_123/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,123,mlp,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.10099337748344371,0.24006622516556292,-0.1390728476821192,0.17674343626391648,1.9861090396065284,0.9967601394076739,0.10670331302691706,outputs/models/full_multiseed/seed_123/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_123/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,2026,lstm,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.7798013245033113,0.6655629139072847,0.11423841059602657,0.6170404855712878,0.02006168330311102,0.10010593080039781,0.7277387437697089,,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,2026,lstm,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.7798013245033113,0.4155629139072848,0.3642384105960265,0.3233345341472142,0.18055514972270348,0.30031779238528455,0.3343539983587025,,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,2026,lstm,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.7798013245033113,0.36423841059602646,0.41556291390728484,0.24339550996431,0.5015420825948257,0.5005296539653346,0.20880618344991742,,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,2026,lstm,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.7798013245033113,0.3029801324503311,0.4768211920529802,0.18102296239431398,2.00616833019837,1.001059307889017,0.1069511334624639,,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_fixed_attacker_comparison_results.csv
mock,2026,lstm,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.7350993377483444,0.6903973509933775,0.04470198675496684,0.6402809019596372,0.02006168330311102,0.10010593080039781,0.7277387437697089,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,2026,lstm,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.5894039735099338,0.46688741721854304,0.12251655629139074,0.40878963713325894,0.18055514972270348,0.30031779238528455,0.3343539983587025,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,2026,lstm,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.5894039735099338,0.3841059602649007,0.2052980132450331,0.3086873994253406,0.5015420825948257,0.5005296539653346,0.20880618344991742,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,2026,lstm,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.5662251655629139,0.27980132450331124,0.28642384105960267,0.21666624301455437,2.00616833019837,1.001059307889017,0.1069511334624639,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/lstm/retrain_attacker/best_lstm_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/lstm_retrain_attacker_comparison_results.csv
mock,2026,mlp,fixed_attacker,noise,,noise_scale,0.1,,,,,,,0.4718543046357616,0.2367549668874172,0.2350993377483444,0.1638833925301412,0.02006168330311102,0.10010593080039781,0.7277387437697089,outputs/models/full_multiseed/seed_2026/best_mlp.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,2026,mlp,fixed_attacker,noise,,noise_scale,0.3,,,,,,,0.4718543046357616,0.21026490066225165,0.26158940397350994,0.12714916986835578,0.18055514972270348,0.30031779238528455,0.3343539983587025,outputs/models/full_multiseed/seed_2026/best_mlp.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,2026,mlp,fixed_attacker,noise,,noise_scale,0.5,,,,,,,0.4718543046357616,0.2119205298013245,0.25993377483443714,0.1242147786567918,0.5015420825948257,0.5005296539653346,0.20880618344991742,outputs/models/full_multiseed/seed_2026/best_mlp.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,2026,mlp,fixed_attacker,noise,,noise_scale,1.0,,,,,,,0.4718543046357616,0.20860927152317882,0.2632450331125828,0.11784091921261246,2.00616833019837,1.001059307889017,0.1069511334624639,outputs/models/full_multiseed/seed_2026/best_mlp.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_fixed_attacker_comparison_results.csv
mock,2026,mlp,retrain_attacker,noise,,noise_scale,0.1,,,,,,,0.10430463576158941,0.3990066225165563,-0.29470198675496684,0.3372109187343361,0.02006168330311102,0.10010593080039781,0.7277387437697089,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p1_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,2026,mlp,retrain_attacker,noise,,noise_scale,0.3,,,,,,,0.10430463576158941,0.2980132450331126,-0.1937086092715232,0.23234043976912594,0.18055514972270348,0.30031779238528455,0.3343539983587025,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p3_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,2026,mlp,retrain_attacker,noise,,noise_scale,0.5,,,,,,,0.10430463576158941,0.2847682119205298,-0.1804635761589404,0.2413098764190172,0.5015420825948257,0.5005296539653346,0.20880618344991742,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_0p5_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
mock,2026,mlp,retrain_attacker,noise,,noise_scale,1.0,,,,,,,0.10430463576158941,0.23013245033112584,-0.12582781456953643,0.18598090602866155,2.00616833019837,1.001059307889017,0.1069511334624639,outputs/models/full_multiseed/seed_2026/parameter_scans/noise/mlp/retrain_attacker/best_mlp_noise_noise_scale_1p0_retrain.pt,outputs/defense/full_multiseed/seed_2026/noise/comparisons/mlp_retrain_attacker_comparison_results.csv
