accuracy_drop,baseline_acc,baseline_f1_macro,dataset,defended_acc,defended_f1_macro,mae,method,mode,model_type,mse,pearson_r,relative_accuracy_drop_percent,seed,source_files
0.2764900662251656,0.4652317880794702,0.4129917751339348,mock,0.18874172185430463,0.11777096560638949,0.4997777148464784,noise,fixed_attacker,mlp,0.4990515514628953,0.21107981852836696,59.43060498220641,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\defense_report.json
0.2052980132450331,0.4652317880794702,0.4129917751339348,mock,0.2599337748344371,0.18708902755334428,0.4997777148464784,noise,retrain_attacker,mlp,0.4990515514628953,0.21107981852836696,44.128113879003564,42,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\json_reports\mlp_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_42\noise\defense_report.json
0.34437086092715224,0.7831125827814569,0.7699687346804808,mock,0.43874172185430466,0.30304409024571677,0.3917225008424567,adaptive_ldp,fixed_attacker,lstm,0.9063319580707391,0.14640435311817862,43.97463002114164,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\defense_report.json
0.36092715231788075,0.7831125827814569,0.7699687346804808,mock,0.42218543046357615,0.353448181869182,0.3917225008424567,adaptive_ldp,retrain_attacker,lstm,0.9063319580707391,0.14640435311817862,46.088794926004226,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\defense_report.json
0.4470198675496688,0.7831125827814569,0.7699687346804808,mock,0.3360927152317881,0.18040605277894695,0.5156768119323579,ldp,fixed_attacker,lstm,1.0037463464963514,0.10782291804134839,57.082452431289646,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\defense_report.json
0.4569536423841059,0.7831125827814569,0.7699687346804808,mock,0.326158940397351,0.22954895519222088,0.5156768119323579,ldp,retrain_attacker,lstm,1.0037463464963514,0.10782291804134839,58.350951374207185,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\defense_report.json
0.4039735099337748,0.7831125827814569,0.7699687346804808,mock,0.3791390728476821,0.2466322587837273,0.4983800696929921,noise,fixed_attacker,lstm,0.4965272599019954,0.21006852069535115,51.58562367864693,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\lstm_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\defense_report.json
0.41390728476821187,0.7831125827814569,0.7699687346804808,mock,0.36920529801324503,0.3007413849018401,0.4983800696929921,noise,retrain_attacker,lstm,0.4965272599019954,0.21006852069535115,52.85412262156448,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\lstm_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\lstm_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\defense_report.json
0.3692052980132451,0.48344370860927155,0.4405918215847059,mock,0.11423841059602649,0.04101040118870728,0.3917225008424567,adaptive_ldp,fixed_attacker,mlp,0.9063319580707391,0.14640435311817862,76.36986301369863,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\defense_report.json
0.06953642384105962,0.48344370860927155,0.4405918215847059,mock,0.4139072847682119,0.3351340789232041,0.3917225008424567,adaptive_ldp,retrain_attacker,mlp,0.9063319580707391,0.14640435311817862,14.383561643835622,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\json_reports\mlp_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\adaptive_ldp\defense_report.json
0.3692052980132451,0.48344370860927155,0.4405918215847059,mock,0.11423841059602649,0.04101040118870728,0.5156768119323579,ldp,fixed_attacker,mlp,1.0037463464963514,0.10782291804134839,76.36986301369863,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\defense_report.json
0.2731788079470199,0.48344370860927155,0.4405918215847059,mock,0.21026490066225165,0.16065752744654863,0.5156768119323579,ldp,retrain_attacker,mlp,1.0037463464963514,0.10782291804134839,56.5068493150685,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\json_reports\mlp_defended_confusion_test_retrained_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\ldp\defense_report.json
0.2731788079470199,0.48344370860927155,0.4405918215847059,mock,0.21026490066225165,0.12967502742783643,0.4983800696929921,noise,fixed_attacker,mlp,0.4965272599019954,0.21006852069535115,56.5068493150685,123,D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\mlp_baseline_confusion_test.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\json_reports\mlp_defended_confusion_test_fixed_attacker.json;D:\毕业设计毕业设计毕业设计毕业设计\Projects\iot_privacy_attack\outputs\defense\full_multiseed\seed_123\noise\defense_report.json
